-89.4143 31.0101,-89.3488 31.1753
-89.4279 30.9825,-89.4252 30.9877
-89.3526 31.2752,-89.3479 31.3466
-89.3529 31.2748,-89.3479 31.3466
-89.4283 30.9825,-89.4252 30.9887
-89.4139 31.0101,-89.3488 31.1743
-88.8834 30.4316,-88.4005 30.4742
-88.8834 30.432,-88.4005 30.4745
-85.9056 38.7632,-85.81 39.0404
-85.4125 38.1468,-85.0165 38.2175
-69.4676 44.6935,-69.2876 44.8359
-69.4689 44.6933,-69.2877 44.8363
-69.6268 44.5805,-69.5931 44.6018
-69.6277 44.5806,-69.593 44.6019
-79.2609 35.9529,-79.0013 36.0793
-79.2609 36.0621,-79.1358 36.0794
-89.5282 39.9765,-89.2068 40.2816
-89.5282 39.9765,-89.2068 40.2816
-89.4612 40.1732,-89.4158 40.3227
-92.2998 41.6869,-91.8342 41.6962
-92.2998 41.6871,-91.8341 41.6964
-84.1765 36.5913,-84.1049 36.9642
-84.1763 36.5913,-84.1046 36.9638
-84.7834 38.1589,-84.6443 38.1729
-84.783 38.1592,-84.6444 38.1731
-89.8747 35.9996,-89.6913 36.4101
-89.875 35.9996,-89.6915 36.4103
-89.7955 36.0899,-89.6913 36.4101
-89.7958 36.09,-89.6915 36.4103
-89.749 36.1147,-89.613 36.2165
-89.7481 36.2161,-89.7313 36.2313
-89.7488 36.2167,-89.7316 36.2315
-94.9944 39.821,-94.8051 39.9715
-94.9943 39.821,-94.8054 39.9712
-94.8666 39.8206,-94.8573 39.8887
-94.8663 39.8206,-94.8566 39.8831
-93.7519 31.9224,-93.4312 32.3398
-93.7515 31.9229,-93.4312 32.3398
-93.5715 41.8632,-93.5526 42.2092
-93.5712 41.8632,-93.5523 42.2091
-121.334 37.2459,-121.089 37.5907
-121.333 37.2461,-121.089 37.5911
-121.334 37.2459,-121.089 37.5907
-95.9504 38.412,-95.7092 38.4344
-95.9504 38.4117,-95.7083 38.4344
-95.9504 38.412,-95.7092 38.4344
-95.9504 38.4117,-95.7083 38.4344
-79.3081 34.5017,-78.9544 34.9118
-79.1519 34.5767,-79.006 34.6702
-93.446 32.5653,-93.1739 32.5942
-93.446 32.5655,-93.1739 32.5945
-93.7014 30.1275,-92.9969 30.2507
-93.7014 30.1273,-92.9969 30.2502
-93.2741 30.2358,-93.1965 30.2374
-93.2741 30.2359,-93.1965 30.2376
-77.1393 39.3034,-76.9137 39.3569
-77.1391 39.306,-76.9245 39.3571
-77.1391 39.2959,-76.7965 39.3571
-77.1393 39.2957,-76.7963 39.3569
-76.1061 39.5805,-75.7878 39.6466
-76.106 39.5804,-75.7878 39.6464
-76.1061 39.5805,-75.7878 39.6466
-76.106 39.5804,-75.7878 39.6464
-76.9242 39.3034,-76.9137 39.3057
-76.7256 39.2183,-76.7061 39.2229
-79.2497 39.6695,-78.962 39.6955
-79.4767 39.6534,-78.962 39.7015
-79.2497 39.68,-79.1049 39.6955
-79.4767 39.6534,-78.962 39.7015
-68.4331 45.8029,-68.4266 45.8512
-68.8128 44.7677,-68.7215 44.7874
-86.2523 42.4193,-86.1475 42.7297
-86.2526 42.4193,-86.1483 42.7307
-86.2526 42.4193,-86.0373 42.7689
-86.2523 42.4193,-86.0361 42.7689
-84.9989 41.7596,-84.9717 42.0728
-84.9993 41.7596,-84.9721 42.0728
-84.9989 41.7596,-84.9717 42.0728
-84.9993 41.7596,-84.9721 42.0728
-84.9828 42.0001,-84.9725 42.0728
-84.9817 42.0001,-84.9717 42.0728
-96.8614 38.9993,-96.7422 39.0596
-96.8616 38.9995,-96.7423 39.0598
-96.9635 38.9944,-96.5011 39.0677
-96.9635 38.9942,-96.5011 39.0673
-96.9635 38.9944,-96.5011 39.0677
-96.9635 38.9942,-96.5011 39.0673
-97.6218 38.6222,-97.6216 38.6817
-77.6832 39.5999,-77.682 39.5999
-76.6529 39.2907,-76.6064 39.3721
-76.6531 39.2907,-76.6067 39.3721
-76.6209 39.2746,-76.6196 39.2776
-76.5757 39.2474,-76.5668 39.2607
-76.5756 39.2474,-76.5668 39.2605
-76.6193 39.2793,-76.619 39.284
-76.6475 39.2907,-76.6064 39.3495
-76.6529 39.3499,-76.6462 39.3721
